nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value,rmse_mcar_rand_scaled,rmse_mar_rand_scaled,rmse_mcar_const_scaled,rmse_mar_const_scaled,rmse_mcar_rand_unscaled,rmse_mar_rand_unscaled,rmse_mcar_const_unscaled,rmse_mar_const_unscaled
tyrosine,3776,8789,0.1043333904912122,0.4296279440209352,41,1.3175166396270743,0.0,0.06,2,0.17150523792025837,0.3792073775296098,0.15786692694480692,0.35966717272268806,0.06917025000428258,0.15293916796637597,0.06366974413477768,0.14505835649465187
arginine,3754,8789,0.0960454092625298,0.4271248151097963,67,1.3734024609077038,0.0,0.097,2,0.3640491657912446,0.5054237005265464,0.24654336168606836,0.4621553506416491,0.2920868026918557,0.40551553943352875,0.19780861776988992,0.37080013880507356
histidine,3748,8789,0.0937850507456164,0.4264421435885766,31,1.353505695604995,0.0,0.044,2,0.22321813743616933,0.5252691845286726,0.2159658031409654,0.5155612720662006,0.08483810284799417,0.19963808417332565,0.08208172153158254,0.1959484176630767
threonine,3745,8789,0.0926548714871597,0.4261008078279668,26,1.3138199349038475,0.0,0.078,2,0.18703557730862194,0.3199482953039347,0.15130761136290521,0.3162158151547415,0.09168826295413625,0.15684451056996643,0.074173759691039,0.1550147779536506
phenylalanine,3744,8789,0.0922781450676742,0.4259870292410968,38,1.2800722443276853,0.0,0.088,2,0.16171609605137952,0.3271901972579452,0.1599762173909092,0.3047051405386387,0.07738395629286242,0.1565661884220004,0.07655139272759255,0.14580669865472995
valine,3741,8789,0.0911479658092175,0.425645693480487,39,1.2908258433040185,0.0,0.107,2,0.16277659990093418,0.296082152935707,0.1558571487074041,0.2795549749187192,0.09388445109105724,0.1707709205621948,0.08989352790159832,0.16123856258267347
isoleucine,3741,8789,0.0911479658092175,0.425645693480487,32,1.3081934979154797,0.0,0.083,2,0.16508874993953251,0.3498324800004982,0.15183940402768356,0.3420075029544908,0.08701737187189756,0.18439477634955245,0.08003371436532943,0.1802702746309044
leucine,3741,8789,0.0911479658092175,0.425645693480487,22,1.288935485844126,0.0,0.133,2,0.13641074319478785,0.29257092089091125,0.12911310339802295,0.26975514828500524,0.125339651405372,0.2688258773562584,0.11863428608212913,0.24786183948884802
methionine,3732,8789,0.0877574280338474,0.4246216861986574,16,1.364179755321696,0.0,0.032,2,0.23445412013504924,0.5805078425228006,0.21694319975111104,0.5782547805354752,0.07111364767596945,0.1760772222006874,0.06580230877859951,0.1753938315123898
lysine,3728,8789,0.0862505223559052,0.4241665718511776,15,1.3820953102526332,0.0,0.097,2,0.22956615558954777,0.4390264747082265,0.1789276598070716,0.4365404704463208,0.22626971752622557,0.43272230441863696,0.17635835900010743,0.43027199482443385
