nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value,rmse_mcar_rand_scaled,rmse_mar_rand_scaled,rmse_mcar_const_scaled,rmse_mar_const_scaled,rmse_mcar_rand_unscaled,rmse_mar_rand_unscaled,rmse_mcar_const_unscaled,rmse_mar_const_unscaled
tryptophan,3810,8789,0.1171420887537214,0.4334964159745136,60,1.3364107124505595,0.0,0.021,2,0.3747075476442215,0.4678084590821597,0.3747322157379924,0.45806285819241743,0.04901004293067058,0.06118721910528238,0.04901327017251785,0.05991253941359782
proline,3805,8789,0.1152584566562935,0.4329275230401638,96,1.334759172651495,0.0,0.088,2,0.34485699800858477,0.7169450130350722,0.34296009426175394,0.6893089817702045,0.20902074116788824,0.43454642528758347,0.20787101476658126,0.41779599910157567
serine,3799,8789,0.1129980981393802,0.4322448515189441,53,1.296711853879838,0.0,0.085,2,0.15541339786863603,0.41081248261381653,0.15679717251536893,0.3958084611413739,0.07509833527612811,0.1985114123580334,0.07576699786899717,0.19126122803448034
glycine,3798,8789,0.1126213717198946,0.4321310729320742,47,1.5246326430115988,0.0,0.064,2,0.3524013289681983,1.031755606646744,0.3511433740610738,1.0280799553921103,0.23919911002135008,0.7003237599694194,0.23834524699131823,0.6978288438089235
alanine,3797,8789,0.112244645300409,0.4320172943452042,24,1.3537071128176668,0.0,0.085,2,0.19835762561992493,0.39745478971620724,0.19516352504722678,0.39291037550166497,0.13380209134396348,0.2681030414626155,0.13164750828767957,0.2650376072327711
glutamic_acid,3790,8789,0.1096075603640101,0.4312208442371146,38,1.2463075474155878,0.0,0.336,2,0.21469083112106643,0.43924123751694805,0.21019189604900215,0.40444802716762673,0.4003159545642693,0.8190162181601948,0.3919271684316347,0.7541402487483122
tyrosine,3776,8789,0.1043333904912122,0.4296279440209352,41,1.3175166396270743,0.0,0.06,2,0.16327193031155238,0.3036701134807477,0.1624877987666239,0.28850724675844713,0.06584965002511843,0.12247402592559882,0.06553339910022307,0.11635865257605509
arginine,3754,8789,0.0960454092625298,0.4271248151097963,67,1.3734024609077038,0.0,0.097,2,0.23844425466584085,0.547549427291406,0.23768094212011695,0.5418300834569848,0.1913104816582918,0.4393141947248688,0.19069805656736386,0.4347254027716692
histidine,3748,8789,0.0937850507456164,0.4264421435885766,31,1.353505695604995,0.0,0.044,2,0.2550519731334919,0.3606762890426577,0.24870275772729042,0.3576174063346845,0.09693713038553668,0.13708156901989196,0.0945239956814609,0.13591898542165096
threonine,3745,8789,0.0926548714871597,0.4261008078279668,26,1.3138199349038475,0.0,0.078,2,0.16331199392692408,0.21183229685835073,0.16119787534275473,0.19980857121111342,0.08005852678272694,0.10384406737954834,0.07902214813951434,0.09794981766318792
phenylalanine,3744,8789,0.0922781450676742,0.4259870292410968,38,1.2800722443276853,0.0,0.088,2,0.1389220059405135,0.33260315611049746,0.13726416997695456,0.30625174483895395,0.06647658980191273,0.15915637535977026,0.06568328495671365,0.14654677156910748
valine,3741,8789,0.0911479658092175,0.425645693480487,39,1.2908258433040185,0.0,0.107,2,0.15162191668255928,0.2521185126224795,0.14980769590139145,0.22532404663191677,0.0874507760933398,0.1454140658143889,0.08640439032934975,0.12995986218134334
