name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,lutein_zeaxanthin_mcar,lutein_zeaxanthin_mar,lutein_zeaxanthin
"KELLOGG'S, Mixed Berry Granola, NUTRI-GRAIN Frozen Fruit Pizza, EGGO",8.4,3.8,8,262.0,0.0,20.0,0.0,0.8,0.0,0.08,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,47.0,0.0,1.1,14.0,0.0,51.0,72.0,0.0,0.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,3.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,8.4,3.8,1.6,1.9,8.0,0.0,0.0,0.0,0.0,39.43,,,0.0
"Beef, pan-browned, cooked, crumbles, 75% lean meat / 25% fat, ground",18.0,6.9,89,93.0,81.5,12.0,0.0,5.345,0.807,0.191,0.046,9.0,3.0,0.0,0.0,0.0,2.8,0.428,0.0,2.0,0.12,0.12,2.2,34.0,0.08,2.63,22.0,0.012,214.0,354.0,21.6,6.17,26.28,1.645,1.709,2.365,0.27,3.938,1.783,0.853,0.0,1.161,2.048,2.176,0.676,1.024,1.338,1.052,1.017,0.133,0.808,1.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21,6.926,8.24,0.497,89.0,0.0,1.1,0.0,0.0,54.5,0.0,0.0,0.0
"CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup",3.7,1.2,4,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39,0.8,1.25,0.0,0.0,0.0,0.0,0.0,0.0,3.67,1.224,0.0,0.0,4.0,0.0,1.5,0.0,0.0,83.8,,,0.0
"Lamb, raw, separable lean and fat, neck chops, imported, New Zealand",18.0,7.5,72,73.0,0.0,0.0,0.0,3.801,0.308,0.128,0.082,38.0,11.0,0.0,0.0,0.0,2.51,0.109,0.0,2.0,0.36,0.36,0.0,20.0,0.077,1.14,18.0,0.006,156.0,290.0,4.3,3.05,17.43,0.896,1.213,0.0,0.236,2.517,0.77,0.382,0.0,0.807,1.391,1.573,0.588,0.71,0.578,0.614,0.859,0.199,0.624,0.917,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,7.514,4.988,0.683,72.0,0.0,0.88,0.0,0.0,64.7,0.0,0.0,0.0
"Cereals ready-to-eat, RAISIN BRAN CLUSTERS, FIBER ONE, GENERAL MILLS",2.3,0.4,0,337.0,26.6,182.0,163.0,9.1,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,2.7,0.9,10.9,0.0,0.58,0.58,1.9,182.0,0.364,8.19,58.0,0.0,182.0,423.0,30.5,6.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4,17.9,25.6,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.4,0.2,0.6,0.0,0.0,2.9,0.0,0.0,5.19,232.0,232.0,232.0
"POPEYES, meat and skin with breading, Drumstick, Mild, Fried Chicken",19.0,6.6,108,588.0,0.0,0.0,0.0,5.443,1.205,0.25,0.101,0.0,0.0,0.0,0.0,0.0,0.62,0.235,0.0,0.0,0.0,0.0,0.0,20.0,0.074,1.06,22.0,0.121,171.0,261.0,27.9,1.76,20.44,1.164,1.156,1.388,0.237,4.779,1.718,0.487,0.528,0.6,1.246,0.887,0.296,0.782,1.64,0.796,0.674,0.156,0.625,0.745,9.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,6.591,8.488,2.226,108.0,0.0,2.44,0.0,0.0,48.14,0.0,0.0,0.0
"BANQUET, unprepared, frozen, family size, Salisbury Steak With Gravy",11.0,4.3,36,517.0,0.0,13.0,0.0,1.38,0.0,0.12,0.062,0.0,0.0,0.0,0.0,0.0,0.38,0.14,0.0,0.0,0.29,0.29,0.0,51.0,0.084,0.98,17.0,0.173,135.0,142.0,7.7,0.73,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,1.0,0.28,0.0,0.0,0.28,0.0,0.0,0.0,11.1,4.282,5.158,1.656,36.0,0.0,1.58,0.0,0.0,73.47,0.0,0.0,0.0
"Lamb, raw, separable lean and fat, hind-shank, imported, New Zealand",12.0,4.9,64,76.0,0.0,0.0,0.0,4.388,0.451,0.148,0.067,25.0,7.0,0.0,0.0,0.0,1.31,0.134,0.0,2.0,0.4,0.4,0.0,5.0,0.097,1.34,20.0,0.009,168.0,299.0,4.3,3.09,18.39,0.914,1.238,0.0,0.241,2.569,0.786,0.389,0.0,0.823,1.42,1.606,0.6,0.724,0.589,0.627,0.877,0.203,0.637,0.936,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12,4.861,3.498,0.54,64.0,0.0,0.93,0.0,0.0,67.84,0.0,0.0,0.0
"Margarine-like, without salt, stick, 80% fat, butter-margarine blend",81.0,27.0,88,28.0,15.0,2.0,0.0,0.03,0.0,0.04,0.01,3577.0,819.0,0.0,610.0,0.0,0.1,0.01,0.1,12.0,5.0,5.0,70.9,28.0,0.005,0.09,2.0,0.0,23.0,37.0,0.5,0.02,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7,26.904,31.832,18.236,88.0,0.0,2.0,0.0,0.0,15.8,0.0,0.0,0.0
"Candies, prepared-by-recipe, with nuts, chocolate marshmallow, fudge",21.0,10.0,23,79.0,0.0,11.0,0.0,0.232,0.156,0.082,0.042,228.0,68.0,0.0,0.0,0.0,0.03,0.054,0.3,0.0,0.59,0.59,2.4,49.0,0.319,1.11,46.0,0.47,88.0,170.0,2.3,0.76,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.69,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11,10.378,5.506,4.081,23.0,0.0,0.84,16.0,129.0,7.12,6.0,6.0,6.0
"Chicken, raw, meat and skin and giblets and neck, broilers or fryers",15.0,4.2,90,70.0,0.0,30.0,0.0,6.639,1.072,0.186,0.061,771.0,232.0,0.0,0.0,0.0,1.11,0.34,2.6,0.0,0.0,0.0,0.0,11.0,0.064,1.31,20.0,0.029,149.0,189.0,11.8,1.48,18.33,1.068,1.162,1.641,0.246,2.676,1.22,0.526,0.0,0.906,1.336,1.47,0.482,0.718,0.914,0.66,0.76,0.203,0.586,0.893,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.83,4.24,6.08,3.19,90.0,0.0,0.8,0.0,0.0,66.34,0.0,0.0,0.0
"Turkey, raw, with added solution, meat only, from whole bird, breast",1.7,0.5,54,206.0,48.3,7.0,0.0,9.924,0.775,0.145,0.033,20.0,6.0,0.0,0.0,0.0,0.63,0.775,0.0,5.0,0.06,0.06,0.0,14.0,0.052,0.54,25.0,0.007,236.0,242.0,22.7,1.3,21.54,1.164,1.219,1.722,0.203,2.921,0.919,0.584,0.11,0.617,1.493,1.777,0.563,0.694,1.163,0.853,0.782,0.229,0.64,0.688,0.14,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.66,0.536,0.491,0.479,54.0,0.0,1.42,0.0,0.0,76.42,0.0,0.0,0.0
"Cereals ready-to-eat, KELLOGG RAISIN BRAN with Omega-3 from flaxseed",2.5,0.3,0,355.0,0.0,189.0,0.0,9.39,0.0,0.8,0.7,943.0,0.0,0.0,0.0,0.0,3.0,0.93,2.0,75.0,0.0,0.0,0.0,39.0,0.0,8.5,96.0,0.0,235.0,262.0,0.0,2.79,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.69,9.6,31.29,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3,0.4,1.5,0.0,0.0,1.79,0.0,0.0,5.69,,,0.0
"Soup, single brand, ready-to-serve, chunky, chicken mushroom chowder",4.4,1.2,6,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.15,0.837,1.74,6.0,0.0,1.3,0.0,0.0,84.2,0.0,0.0,0.0
