name,serving_size,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Mayonnaise, low calorie or diet, low sodium",100,19.0,3.3,24,110.0,8.5,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,6.43,6.43,24.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.6,0.11,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,19.2,3.3,4.5,10.6,24.0,0.0,1.8,0.0,0.0,62.7
"Pasta, without added salt, enriched, cooked",100,0.9,0.2,0,1.0,6.4,73.0,66.0,1.689,0.112,0.136,0.274,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.049,0.0,0.0,0.06,0.06,0.0,7.0,0.1,1.28,18.0,0.322,58.0,44.0,26.4,0.51,5.8,0.192,0.208,0.274,0.112,2.018,0.194,0.131,0.0,0.224,0.434,0.131,0.064,0.293,0.689,0.271,0.203,0.081,0.107,0.258,30.86,1.8,0.56,0.03,0.0,0.04,0.0,0.4,0.09,0.93,0.176,0.131,0.326,0.0,0.0,0.27,0.0,0.0,62.13
"Candies, not chocolate covered, coconut bar",100,28.0,26.0,0,128.0,10.0,22.0,0.0,0.445,0.247,0.021,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,2.7,0.0,0.2,0.2,0.1,43.0,0.36,0.77,27.0,1.238,93.0,294.0,8.6,1.02,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.87,6.4,36.16,0.0,0.0,0.0,0.0,0.0,0.0,27.65,25.54,0.328,0.084,0.0,0.0,1.1,0.0,0.0,13.26
"Whale, raw (Alaska Native), flipper, beluga",100,22.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.8,0.0,0.0,153.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,57.5
"Beverages, unsweetened, lemon, instant, tea",100,0.2,,0,55.0,66.4,61.0,0.0,6.168,2.597,0.558,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.0,0.09,0.09,0.0,28.0,0.331,0.75,139.0,30.67,107.0,3453.0,3.0,0.98,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.52,5.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.047,0.012,0.117,0.0,0.0,9.6,1794.0,40.0,4.3
"FAMOUS AMOS, Vanilla Sandwich Creme Cookies",100,19.0,6.3,0,260.0,0.0,73.0,0.0,2.8,0.0,0.24,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,10.0,0.0,67.0,52.0,0.0,0.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,1.3,37.2,0.0,0.0,0.0,0.0,0.0,0.0,19.3,6.3,4.4,7.2,0.0,0.0,0.0,0.0,0.0,2.0
"Cheese, low fat, swiss, pasteurized process",100,5.1,3.3,35,1430.0,36.2,9.0,0.0,0.08,0.0,0.39,0.03,152.0,40.0,0.0,13.0,0.0,0.0,0.77,0.08,0.0,4.0,0.07,0.07,0.5,684.0,0.033,0.43,24.0,0.0,827.0,180.0,17.4,3.32,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.303,1.351,0.18,35.0,0.0,6.0,0.0,0.0,59.1
"Candies, dark chocolate coated coffee beans",100,30.0,15.0,13,25.0,0.0,3.0,0.0,0.578,0.108,0.266,0.018,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.038,0.0,0.0,0.23,0.23,5.9,100.0,0.563,2.7,107.0,0.558,135.0,342.0,2.8,1.32,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.95,7.5,42.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,13.0,0.0,1.08,839.0,368.0,1.47
"Rolls, reduced-calorie, hamburger or hotdog",100,2.0,0.3,0,410.0,14.6,111.0,86.0,4.935,0.38,0.175,0.393,1.0,0.0,0.0,0.0,0.0,45.0,0.1,0.038,0.2,0.0,0.07,0.07,3.1,59.0,0.143,2.99,20.0,0.449,84.0,78.0,23.5,0.68,8.3,0.229,0.0,0.452,0.112,1.777,0.216,0.157,0.0,0.296,0.512,0.299,0.119,0.321,0.632,0.337,0.229,0.083,0.229,0.324,42.1,6.2,4.76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.325,0.524,0.763,0.0,0.0,1.6,0.0,0.0,46.0
"Beans, raw, mature seeds, all types, kidney",100,0.8,0.1,0,24.0,0.0,394.0,0.0,2.06,0.78,0.219,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,4.5,0.0,0.22,0.22,19.0,143.0,0.958,8.2,140.0,1.021,407.0,1406.0,3.2,2.79,23.58,0.988,1.46,2.852,0.256,3.595,0.92,0.656,0.0,1.041,1.882,1.618,0.355,1.275,1.0,1.282,0.992,0.279,0.664,1.233,60.01,24.9,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.12,0.064,0.457,0.0,0.0,3.83,0.0,0.0,11.75
